Lamb Matthew
Roberts Maurice
Burns Joseph
Johns David
Blake Godwin
Tyler Ronald
Kennedy Chester
Edwards Mark
George John
Hicks Noel
Fleming Walter
Bates Gavin
Horn John
Hawkins Jacob
Dorsey Amice
Chase Emma
Lee Ruthó
Woods Ruthó
O’Brien’ Maryann
Blair Sophia
Washington Lilian
Norman Shona
Jones Chloe
French Cynthia
Bradford Helen
Peters Rosalyn
Hunt Mary
Henry Clementine
Carter Candice
Rice Patricia
Charles Katherine
Barker Doreen
Johnson Dorothy
Gardner Octavia
Hardy Betty
Morgan Emily
Manning Susan
Rose Helen
Simmons Eleanore
Williams Christiana
Lambert Elisabeth
Park Esther
Sutton Helen
Conley Dayna
Austin Quentin
Miles Simon
O’Brien’ David
Simpson Oliver
McDonald Esmond
Strickland Jack
Rose Domenic
Boyd Rudolf
Hood Elvin
McLaughlin Joseph
Greene Ronald
Crawford Peter
Ryan Marcus
Reynolds Richard
Carr Ethan
